esz_id,station_id,est_population,total_points,data_quality_flag,total_units,pct_hydrant_1000ft,pct_flood_ae,sfr_units,sfr_pct,sfr_grnd_sqft,sfr_avg_yrbl,sfr_hyd_pct,sfr_flood_pct,mobile_units,mobile_pct,mobile_grnd_sqft,mobile_avg_yrbl,mobile_hyd_pct,mobile_flood_pct,multifamily_units,multifamily_pct,multifamily_grnd_sqft,multifamily_avg_yrbl,multifamily_hyd_pct,multifamily_flood_pct,alf_units,alf_pct,alf_grnd_sqft,alf_avg_yrbl,alf_hyd_pct,alf_flood_pct,retail_units,retail_pct,retail_grnd_sqft,retail_avg_yrbl,retail_hyd_pct,retail_flood_pct,industrial_units,industrial_pct,industrial_grnd_sqft,industrial_avg_yrbl,industrial_hyd_pct,industrial_flood_pct,institutional_units,institutional_pct,institutional_grnd_sqft,institutional_avg_yrbl,institutional_hyd_pct,institutional_flood_pct,school_units,school_pct,school_grnd_sqft,school_avg_yrbl,school_hyd_pct,school_flood_pct,government_units,government_pct,government_grnd_sqft,government_avg_yrbl,government_hyd_pct,government_flood_pct,vacant_units,vacant_pct,vacant_grnd_sqft,vacant_avg_yrbl,vacant_hyd_pct,vacant_flood_pct
81-017-H,ST81,0,1,,1,0.0,100.0,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,1,100.0,0,,0.0,100.0,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,
81-018-H,ST81,0,3,,3,33.3,100.0,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,1,33.3,707665,,0.0,100.0,1,33.3,58695,,100.0,100.0,1,33.3,0,,0.0,100.0
81-019-H,ST81,434,200,,200,100.0,93.3,192,96.0,711273,2006,100.0,100.0,0,0.0,0,,,,1,0.5,0,,100.0,,0,0.0,0,,,,7,3.5,127453,,100.0,50.0,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,
81-020-H,ST81,30,24,,51,100.0,66.7,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,28,54.9,235017,2021,100.0,,20,39.2,116359,,100.0,55.6,0,0.0,0,,,,0,0.0,0,,,,1,2.0,0,,100.0,100.0,2,3.9,161564,,100.0,100.0,0,0.0,0,,,
81-021-H,ST81,1029,582,,582,100.0,67.1,457,78.5,1050892,1998,100.0,68.3,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,125,21.5,0,,100.0,63.2
81-022-N,ST81,182,84,,84,100.0,35.7,81,96.4,235625,2003,100.0,35.7,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,3,3.6,0,,100.0,
81-023-N,ST81,677,252,,395,83.5,86.5,192,48.6,621122,2004,81.2,64.9,0,0.0,0,,,,146,37.0,179168,2024,100.0,99.3,0,0.0,0,,,,13,3.3,13239,,100.0,40.0,0,0.0,0,,,,1,0.3,11798,,100.0,100.0,0,0.0,0,,,,0,0.0,0,,,,43,10.9,0,,32.6,72.4
81-024-N,ST81,1082,680,,681,94.4,84.2,479,70.3,1123380,2000,94.8,87.0,0,0.0,0,,,,2,0.3,7818,1997,100.0,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,200,29.4,0,,93.5,72.7
81-025-H,ST81,718,323,,323,100.0,81.0,318,98.5,819773,2003,100.0,81.1,0,0.0,0,,,,1,0.3,0,,100.0,100.0,0,0.0,0,,,,2,0.6,50469,,100.0,100.0,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,2,0.6,0,,100.0,50.0
81-026-N,ST81,617,408,,409,78.5,40.2,272,66.5,695771,2004,80.9,46.4,0,0.0,0,,,,3,0.7,3533,1994,100.0,66.7,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,134,32.8,0,,73.1,26.7
81-027-N,ST81,1119,808,,810,90.4,87.3,494,61.0,1172459,2001,91.3,85.2,0,0.0,0,,,,4,0.5,9701,1997,100.0,100.0,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,1,0.1,2400,,100.0,0.0,0,0.0,0,,,,2,0.2,180,,100.0,100.0,309,38.1,0,,88.7,91.2
81-028-H,ST81,800,437,,437,100.0,84.7,322,73.7,731384,1995,100.0,82.7,0,0.0,0,,,,45,10.3,36627,1995,100.0,100.0,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,70,16.0,0,,100.0,60.0
82-001-H,ST82,944,458,,458,100.0,64.8,416,90.8,885755,1994,100.0,63.5,0,0.0,0,,,,4,0.9,0,,100.0,100.0,1,0.2,4663,1998,100.0,100.0,0,0.0,0,,,,0,0.0,0,,,,1,0.2,21419,,100.0,100.0,0,0.0,0,,,,1,0.2,0,,100.0,100.0,35,7.6,0,,100.0,75.0
82-002-H,ST82,1214,564,,567,100.0,12.2,501,88.4,871081,1975,100.0,13.1,0,0.0,0,,,,51,9.0,53809,1985,100.0,0.0,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,5,0.9,57522,,100.0,40.0,1,0.2,0,,100.0,0.0,4,0.7,0,,100.0,50.0,5,0.9,0,,100.0,0.0
82-003-H,ST82,288,130,,130,100.0,97.1,128,98.5,255676,1998,100.0,97.0,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,2,1.5,0,,100.0,100.0,0,0.0,0,,,
82-004-H,ST82,1506,731,,735,100.0,29.4,602,81.9,857804,1965,100.0,19.1,0,0.0,0,,,,90,12.2,89421,1992,100.0,92.2,0,0.0,0,,,,4,0.5,17584,,100.0,100.0,27,3.7,105157,,100.0,25.9,4,0.5,41315,,100.0,75.0,0,0.0,0,,,,0,0.0,0,,,,8,1.1,0,,100.0,50.0
82-005-H,ST82,365,204,,204,100.0,55.0,91,44.6,156535,1979,100.0,10.1,0,0.0,0,,,,95,46.6,201353,2002,100.0,100.0,1,0.5,41984,1985,100.0,100.0,5,2.5,27819,,100.0,60.0,7,3.4,70361,,100.0,14.3,3,1.5,56717,,100.0,33.3,0,0.0,0,,,,2,1.0,12588,,100.0,50.0,0,0.0,0,,,
82-006-H,ST82,1003,575,,576,100.0,98.5,194,33.7,472456,2003,100.0,95.9,0,0.0,0,,,,338,58.7,457545,2003,100.0,100.0,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,2,0.3,28582,,100.0,100.0,42,7.3,0,,100.0,88.2
82-007-H,ST82,488,226,,226,100.0,66.0,216,95.6,485170,1995,100.0,64.9,0,0.0,0,,,,1,0.4,0,,100.0,100.0,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,9,4.0,0,,100.0,100.0
82-008-H,ST82,776,398,,398,100.0,71.9,342,85.9,562863,1967,100.0,71.3,0,0.0,0,,,,3,0.8,156,1970,100.0,66.7,1,0.3,111578,2015,100.0,100.0,42,10.6,178717,,100.0,71.4,1,0.3,12495,,100.0,100.0,2,0.5,58042,,100.0,50.0,2,0.5,0,,100.0,100.0,1,0.3,21624,,100.0,100.0,4,1.0,0,,100.0,100.0
82-009-H,ST82,723,377,,385,100.0,82.9,210,54.5,426791,1970,100.0,74.8,0,0.0,0,,,,149,38.7,213734,1999,100.0,94.6,0,0.0,0,,,,21,5.5,182160,,100.0,76.2,0,0.0,0,,,,1,0.3,5310,,100.0,100.0,0,0.0,0,,,,2,0.5,0,,100.0,100.0,2,0.5,0,,100.0,100.0
82-010-H,ST82,680,381,,381,100.0,78.6,197,51.7,309509,1986,100.0,40.8,0,0.0,0,,,,141,37.0,140045,2005,100.0,100.0,0,0.0,0,,,,4,1.0,0,,100.0,100.0,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,39,10.2,0,,100.0,70.4
82-011-H,ST82,773,339,,369,100.0,47.1,327,88.6,633956,1982,100.0,40.4,0,0.0,0,,,,2,0.5,1749,1980,100.0,0.0,31,8.4,120035,2006,100.0,96.8,1,0.3,0,,100.0,100.0,0,0.0,0,,,,1,0.3,19436,,100.0,100.0,1,0.3,0,,100.0,0.0,0,0.0,0,,,,6,1.6,0,,100.0,100.0
82-012-H,ST82,1247,667,,667,100.0,58.5,554,83.1,1286766,1994,100.0,58.5,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,1,0.1,0,,100.0,,0,0.0,0,,,,1,0.1,4348,,100.0,,0,0.0,0,,,,0,0.0,0,,,,111,16.6,0,,100.0,58.2
82-013-H,ST82,421,365,,365,92.6,60.9,187,51.2,435480,2004,93.0,62.6,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,178,48.8,0,,92.1,59.1
82-014-H,ST82,1303,597,,598,100.0,98.2,575,96.2,1322221,1988,100.0,98.1,1,0.2,2396,2014,100.0,100.0,4,0.7,3945,1969,100.0,100.0,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,1,0.2,0,,100.0,100.0,0,0.0,0,,,,17,2.8,0,,100.0,100.0
82-015-H,ST82,1178,534,,534,100.0,87.1,523,97.9,909509,1981,100.0,87.0,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,2,0.4,39796,,100.0,100.0,0,0.0,0,,,,3,0.6,1680,,100.0,100.0,6,1.1,0,,100.0,83.3
82-016-H,ST82,1331,711,,744,100.0,69.4,206,27.7,358438,1979,100.0,83.0,390,52.4,604664,1981,100.0,73.3,64,8.6,73834,1973,100.0,34.4,0,0.0,0,,,,33,4.4,287605,,100.0,9.1,0,0.0,0,,,,2,0.3,59645,,100.0,0.0,3,0.4,20444,,100.0,100.0,0,0.0,0,,,,46,6.2,0,,100.0,67.4
82-017-H,ST82,704,503,,503,100.0,2.0,0,0.0,0,,,,361,71.8,574363,1984,100.0,0.0,0,0.0,0,,,,0,0.0,0,,,,75,14.9,406903,,100.0,13.3,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,67,13.3,0,,100.0,0.0
82-018-H,ST82,2,36,,36,100.0,57.6,0,0.0,0,,,,0,0.0,0,,,,1,2.8,0,,100.0,100.0,0,0.0,0,,,,28,77.8,957833,,100.0,44.0,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,7,19.4,0,,100.0,100.0
82-019-H,ST82,840,421,,423,100.0,43.6,370,87.5,796314,1988,100.0,44.1,0,0.0,0,,,,4,0.9,7686,2000,100.0,50.0,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,1,0.2,6946,,100.0,100.0,1,0.2,0,,100.0,100.0,0,0.0,0,,,,47,11.1,0,,100.0,36.2
82-020-H,ST82,538,367,,367,100.0,81.5,239,65.1,551655,1998,100.0,82.6,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,1,0.3,2400,,100.0,0.0,0,0.0,0,,,,0,0.0,0,,,,127,34.6,0,,100.0,80.3
82-022-N,ST82,0,1,,1,0.0,100.0,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,1,100.0,0,,0.0,100.0,0,0.0,0,,,
82-024-N,ST82,0,3,,3,0.0,100.0,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,3,100.0,0,,0.0,100.0,0,0.0,0,,,
82-025-H,ST82,0,1,,1,100.0,100.0,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,1,100.0,21398,,100.0,100.0,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,
82-026-H,ST82,0,1,,1,100.0,100.0,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,1,100.0,0,,100.0,100.0,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,
83-001-N,ST83,0,1,,1,0.0,100.0,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,1,100.0,0,,0.0,100.0,0,0.0,0,,,
83-004-N,ST83,0,1,,1,0.0,100.0,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,1,100.0,0,,0.0,100.0,0,0.0,0,,,
83-005-N,ST83,0,1,,1,0.0,100.0,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,1,100.0,0,,0.0,100.0,0,0.0,0,,,
83-007-N,ST83,0,1,,1,0.0,100.0,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,1,100.0,0,,0.0,100.0,0,0.0,0,,,
83-009-N,ST83,0,1,,1,0.0,100.0,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,1,100.0,0,,0.0,100.0,0,0.0,0,,,
83-018-N,ST83,0,1,,1,0.0,100.0,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,1,100.0,0,,0.0,100.0,0,0.0,0,,,
83-019-N,ST83,0,1,,1,0.0,100.0,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,1,100.0,0,,0.0,100.0,0,0.0,0,,,
83-021-N,ST83,0,1,,1,0.0,100.0,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,1,100.0,0,,0.0,100.0,0,0.0,0,,,
83-022-H,ST83,267,297,,297,100.0,85.7,117,39.4,305556,2022,100.0,66.7,0,0.0,0,,,,2,0.7,0,,100.0,100.0,0,0.0,0,,,,1,0.3,0,,100.0,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,177,59.6,0,,100.0,100.0
83-023-N,ST83,190,257,,257,59.1,65.6,82,31.9,252561,2023,75.6,73.3,0,0.0,0,,,,3,1.2,0,,0.0,100.0,0,0.0,0,,,,3,1.2,0,,33.3,66.7,0,0.0,0,,,,1,0.4,0,,100.0,100.0,0,0.0,0,,,,0,0.0,0,,,,168,65.4,0,,52.4,62.3
